1,深圳市俊凯龙科技有限公司,国家高新技术企业认定奖励,30,15986708828
2,深圳市金安科技有限公司,国家高新技术企业认定奖励,30,0755-23080566
3,深圳市利兴隆超声清洗设备有限公司,国家高新技术企业认定奖励,30,0755-28067979
4,深圳市格瑞普电池有限公司,国家高新技术企业认定奖励,30,0755-29043719
5,深圳市和谐号教育科技有限公司,国家高新技术企业认定奖励,30,400-630-3933
6,深圳市皓龙激光设备有限公司,国家高新技术企业认定奖励,30,0755-81471833
7,深圳市康时源科技有限公司,国家高新技术企业认定奖励,30,0755-83977292
8,深圳市国盛电业发展有限公司,国家高新技术企业认定奖励,30,0755-61116077
9,深圳市盛泰智能数码有限公司,国家高新技术企业认定奖励,30,0755-33592465
10,深圳市来吉智能科技有限公司,国家高新技术企业认定奖励,30,18928487902
11,深圳市欣迪盟新能源科技股份有限公司,国家高新技术企业认定奖励,30,0755-28108171
12,深圳市星商电子商务有限公司,国家高新技术企业认定奖励,30,0755-84571945
13,深圳市深联创电子有限公司,国家高新技术企业认定奖励,30,0755-26440196
14,深圳市富登科技有限公司,国家高新技术企业认定奖励,30,13410956844
15,深圳市福瑞新科技有限公司,国家高新技术企业认定奖励,30,0755-89472252
16,深圳拓普科新能源科技有限公司,国家高新技术企业认定奖励,30,13728923576
17,深圳市超越新方向科技有限公司,国家高新技术企业认定奖励,30,0755-29190933
18,深圳市客所思电子科技有限公司,国家高新技术企业认定奖励,30,0755-23571090
19,深圳市嘉荣华科技有限公司,国家高新技术企业认定奖励,30,0755-85280860
20,深圳市极光尔沃科技股份有限公司,国家高新技术企业认定奖励,30,0755-29304585
21,深圳市蘑菇兄弟科技有限公司,国家高新技术企业认定奖励,30.00 ,13632887068
22,深圳利亚德光电有限公司,国家高新技术企业认定奖励,30.00 ,0755-29671180
23,深圳市迈瑞威科技有限公司,国家高新技术企业认定奖励,30.00 ,15986731790
24,深圳市天浩洋环保股份有限公司,国家高新技术企业认定奖励,30.00 ,0755-83062272
25,深圳市友基技术有限公司,国家高新技术企业认定奖励,30.00 ,0755-33929912
26,深圳市博来盛精密模具有限公司,国家高新技术企业认定奖励,30.00 ,0755-88896677
27,深圳市百盛兴业科技有限公司,国家高新技术企业认定奖励,30.00 ,0755-27042170
28,深圳市泰能新材料有限公司,国家高新技术企业认定奖励,30.00 ,0755-29048870
29,深圳市呤云科技有限公司,国家高新技术企业认定奖励,30.00 ,0755-33180153
30,深圳市莲花百川科技有限公司,国家高新技术企业认定奖励,30.00 ,0755-29360861
31,深圳市天龙世纪科技发展有限公司,国家高新技术企业认定奖励,30.00 ,0755-33985001
32,深圳市巨潮科技股份有限公司,国家高新技术企业认定奖励,30.00 ,0755-33502109
33,深圳市同博威科技有限公司,国家高新技术企业认定奖励,30.00 ,13824844711
34,深圳市柯比电子有限公司,国家高新技术企业认定奖励,30.00 ,13902970045
35,深圳市高展光电有限公司,国家高新技术企业认定奖励,30.00 ,18938053806
36,深圳市海太瑞成光缆有限公司,国家高新技术企业认定奖励,30.00 ,0755-81799878
37,深圳池航科技有限公司,国家高新技术企业认定奖励,30.00 ,0755-29013665
38,深圳市拓宝莱照明科技有限公司,国家高新技术企业认定奖励,30.00 ,13824348097
39,建泰橡胶（深圳）有限公司,国家高新技术企业认定奖励,30.00 ,0755-28095282
40,深圳市高捷力科技有限公司,国家高新技术企业认定奖励,30.00 ,13798288150
41,深圳市国威信电子科技有限公司,国家高新技术企业认定奖励,30.00 ,13662578021
42,深圳市纳安特汽车电子有限公司,国家高新技术企业认定奖励,30.00 ,0755-33121962
