183.129.244.17,10010,HTTPS,0.317,56天
114.113.126.82,80,HTTPS,1.9,221天
114.113.126.86,80,HTTP,3.374,233天
114.113.126.83,80,HTTPS,2.012,217天
59.37.18.243,3128,HTTPS,0.17,1天
120.78.51.155,3128,HTTPS,0.152,13天
183.62.196.10,3128,HTTP,4.745,700天
106.12.32.43,3128,HTTPS,3.132,43天
218.60.8.99,3129,HTTPS,0.083,62天
218.60.8.83,3129,HTTPS,0.096,80天
210.26.124.143,808,HTTPS,0.111,4小时
120.92.74.237,3128,HTTPS,0.019,13天
125.62.26.197,3128,HTTPS,0.352,26天
101.37.79.125,3128,HTTPS,0.356,412天
118.89.188.200,8000,HTTPS,0.396,1天
120.92.74.189,3128,HTTPS,0.017,13天
183.129.207.83,10800,HTTPS,0.486,25天
123.207.66.68,3128,HTTP,0.197,9天
118.190.210.227,3128,HTTPS,0.051,62天
119.31.210.170,7777,HTTPS,0.082,204天
114.113.126.87,80,HTTPS,1.86,231天
27.37.46.202,9000,HTTPS,0.208,4天
203.130.46.108,9090,HTTPS,0.542,106天
183.129.207.74,14823,HTTPS,1.211,111天
203.86.26.9,3128,HTTPS,0.177,31天
101.132.68.43,80,HTTP,5.215,25天
219.159.38.207,46895,HTTP,0.12,1天
183.129.207.80,21776,HTTPS,0.446,30天
180.155.9.151,58897,HTTPS,3.727,1分钟
183.129.207.73,14823,HTTPS,0.417,111天
171.221.239.11,808,HTTPS,0.208,16天
218.28.191.6,33864,HTTPS,3.119,21小时
222.221.11.119,3128,HTTP,0.265,52天
183.129.207.82,18118,HTTP,1.742,26天
183.21.81.58,40539,HTTPS,0.231,13小时
113.251.220.92,8123,HTTP,4.108,1分钟
175.6.2.174,8088,HTTPS,0.462,57天
49.73.6.90,3128,HTTPS,0.13,12小时
115.239.255.190,3128,HTTPS,7.139,174天
60.191.57.78,10800,HTTP,1.543,42天
113.98.255.203,45242,HTTPS,0.415,1天
59.38.60.231,9797,HTTPS,3.463,325天
220.180.50.14,53281,HTTPS,5.1,404天
125.46.0.62,53281,HTTP,0.1,406天
171.116.105.106,9797,HTTP,0.119,1小时
118.190.155.23,80,HTTPS,0.052,4天
117.93.119.19,8118,HTTP,1.344,2天
101.231.50.154,8000,HTTP,1.427,1059天
122.225.45.45,37659,HTTP,0.175,15天
61.145.203.234,38695,HTTPS,2.038,5天
202.107.195.217,80,HTTPS,3.423,35天
14.29.32.106,53281,HTTPS,7.44,73天
124.207.135.106,60066,HTTPS,0.035,6小时
119.23.155.43,3128,HTTP,0.137,2天
120.27.9.204,80,HTTP,0.102,2小时
222.186.45.59,62386,HTTP,0.413,639天
121.201.33.100,16448,HTTPS,0.38,151天
116.19.97.166,9797,HTTP,7.994,8小时
182.18.13.149,53281,HTTPS,2.515,192天
120.27.12.128,80,HTTPS,0.053,2天
120.26.51.101,8118,HTTP,0.012,1068天
123.166.213.49,9999,HTTPS,0.166,5小时
211.101.136.86,8080,HTTPS,0.09,10天
118.212.95.34,53281,HTTPS,1.112,150天
113.99.218.137,53281,HTTPS,0.214,3天
183.129.244.15,10010,HTTP,0.192,27天
219.150.26.62,60638,HTTPS,0.288,10小时
183.129.207.78,18118,HTTPS,4.732,24天
124.205.143.213,32612,HTTPS,0.027,3小时
114.249.112.16,9000,HTTPS,0.037,2小时
202.104.150.130,33163,HTTPS,0.207,1天
163.125.68.149,8888,HTTPS,0.208,1分钟
222.222.169.60,53281,HTTPS,2.071,404天
110.73.0.223,80,HTTP,2.337,1009天
111.202.37.195,8080,HTTPS,0.029,10天
180.155.10.107,31263,HTTPS,0.372,11小时
222.52.142.244,8080,HTTP,0.921,11小时
118.25.95.167,8888,HTTP,1.443,6天
120.27.22.93,80,HTTP,0.052,15天
14.20.235.113,9797,HTTPS,0.202,6天
27.46.20.55,888,HTTPS,0.205,251天
114.55.236.62,8118,HTTPS,0.251,124天
119.254.94.92,48494,HTTPS,0.877,1小时
117.35.51.66,53281,HTTPS,6.242,45天
58.247.127.145,53281,HTTPS,0.133,419天
59.72.126.3,8123,HTTPS,0.831,1分钟
180.168.198.141,18118,HTTP,0.846,180天
59.37.26.226,8080,HTTPS,0.247,5天
183.129.244.16,18118,HTTPS,0.556,54天
203.93.209.163,53281,HTTPS,0.223,28天
120.27.14.125,80,HTTPS,0.054,17天
112.115.57.20,3128,HTTP,1.963,173天
171.217.136.175,33516,HTTP,6.659,1分钟
221.7.211.246,60233,HTTPS,0.208,3小时
61.140.108.57,54689,HTTPS,0.22,3小时
222.92.42.178,808,HTTPS,0.789,8天
58.240.220.86,53281,HTTPS,0.16,9天
119.39.68.146,808,HTTPS,0.18,7小时
183.30.201.8,9797,HTTPS,3.301,306天
218.59.193.18,57045,HTTPS,0.094,1小时
