1,深圳市俊凯龙科技有限公司,国家高新技术企业认定奖励,30.00 
2,深圳市金安科技有限公司,国家高新技术企业认定奖励,30.00 
3,深圳市利兴隆超声清洗设备有限公司,国家高新技术企业认定奖励,30.00 
4,深圳市格瑞普电池有限公司,国家高新技术企业认定奖励,30.00 
5,深圳市和谐号教育科技有限公司,国家高新技术企业认定奖励,30.00 
6,深圳市皓龙激光设备有限公司,国家高新技术企业认定奖励,30.00 
7,深圳市康时源科技有限公司,国家高新技术企业认定奖励,30.00 
8,深圳市国盛电业发展有限公司,国家高新技术企业认定奖励,30.00 
9,深圳市盛泰智能数码有限公司,国家高新技术企业认定奖励,30.00 
10,深圳市来吉智能科技有限公司,国家高新技术企业认定奖励,30.00 
11,深圳市欣迪盟新能源科技股份有限公司,国家高新技术企业认定奖励,30.00 
12,深圳市星商电子商务有限公司,国家高新技术企业认定奖励,30.00 
13,深圳市深联创电子有限公司,国家高新技术企业认定奖励,30.00 
14,深圳市富登科技有限公司,国家高新技术企业认定奖励,30.00 
15,深圳市福瑞新科技有限公司,国家高新技术企业认定奖励,30.00 
16,深圳拓普科新能源科技有限公司,国家高新技术企业认定奖励,30.00 
17,深圳市超越新方向科技有限公司,国家高新技术企业认定奖励,30.00 
18,深圳市客所思电子科技有限公司,国家高新技术企业认定奖励,30.00 
19,深圳市嘉荣华科技有限公司,国家高新技术企业认定奖励,30.00 
20,深圳市极光尔沃科技股份有限公司,国家高新技术企业认定奖励,30.00 
21,深圳市蘑菇兄弟科技有限公司,国家高新技术企业认定奖励,30.00 
22,深圳利亚德光电有限公司,国家高新技术企业认定奖励,30.00 
23,深圳市迈瑞威科技有限公司,国家高新技术企业认定奖励,30.00 
24,深圳市天浩洋环保股份有限公司,国家高新技术企业认定奖励,30.00 
25,深圳市友基技术有限公司,国家高新技术企业认定奖励,30.00 
26,深圳市博来盛精密模具有限公司,国家高新技术企业认定奖励,30.00 
27,深圳市百盛兴业科技有限公司,国家高新技术企业认定奖励,30.00 
28,深圳市泰能新材料有限公司,国家高新技术企业认定奖励,30.00 
29,深圳市呤云科技有限公司,国家高新技术企业认定奖励,30.00 
30,深圳市莲花百川科技有限公司,国家高新技术企业认定奖励,30.00 
31,深圳市天龙世纪科技发展有限公司,国家高新技术企业认定奖励,30.00 
32,深圳市巨潮科技股份有限公司,国家高新技术企业认定奖励,30.00 
33,深圳市同博威科技有限公司,国家高新技术企业认定奖励,30.00 
34,深圳市柯比电子有限公司,国家高新技术企业认定奖励,30.00 
35,深圳市高展光电有限公司,国家高新技术企业认定奖励,30.00 
36,深圳市海太瑞成光缆有限公司,国家高新技术企业认定奖励,30.00 
37,深圳池航科技有限公司,国家高新技术企业认定奖励,30.00 
38,深圳市拓宝莱照明科技有限公司,国家高新技术企业认定奖励,30.00 
39,建泰橡胶（深圳）有限公司,国家高新技术企业认定奖励,30.00 
40,深圳市高捷力科技有限公司,国家高新技术企业认定奖励,30.00 
